site,Deepest,soil_phosphate,fire_frequency,Ca,K
111,10,0.0109,0.1,0.3028,0.8708
111,5,0.0129,0.1,0.7738,0.84215
111,20,0.003,0.1,0.4296,0.9604
111,5,0.0065,0.1,0.5021,0.8933
111,10,0.0197,0.1,0.4229,0.8711
111,5,0.0159,0.1,0.6351,0.8674
111,5,0.0058,0.1,0.7258,0.9266
111,20,0.0069,0.1,0.3248,0.9403
113,10,0.0259,0.1,0.3381,0.8609
113,20,0.0105,0.1,0.3418,0.8671
113,5,0.0097,0.1,0.4588,0.9192
113,10,0.0113,0.1,0.3055,0.8736
113,5,0.0034,0.1,0.452,0.8905
113,10,0.0164,0.1,0.3317,0.9673
113,5,0.0285,0.1,0.4531,0.9138
113,10,0.0218,0.1,0.3334,0.9177
113,10,0.0102,0.1,0.3534,1.1289
113,20,0.0114,0.1,0.4231,0.9658
113,5,0.0123,0.1,0.456,0.9091
113,20,0.0078,0.1,0.3917,1.0337
113,5,0.0152,0.1,0.5816,0.9926
113,20,0.008,0.1,0.2981,0.8253
113,20,0.0132,0.1,0.3943,0.9065
209,10,0.018,0,0.3388,0.9389
209,5,0.0079,0,0.3971,0.9351
209,5,0.0286,0,0.5339,0.8848
209,20,0.0132,0,0.4188,0.9231
209,5,0.0205,0,0.555,0.9011
209,20,0.0061,0,0.3472,0.9755
209,20,0.0202,0,0.4173,0.8945
209,20,0.0154,0,0.4157,0.8334
209,5,0.0159,0,0.4532,0.8315
209,20,0.0196,0,0.4716,0.9438
209,20,0.0193,0,0.377,0.8531
209,10,0.0189,0,0.334,0.8505
209,10,0.0263,0,0.515,1.0744
209,10,0.0314,0,0.3707,0.9723
209,5,0.0128,0,0.6501,0.9761
209,10,0.0174,0,0.3784,0.9809
301,20,0.0215,0,0.3762,0.7656
301,10,0.0263,0,0.4164,0.9444
301,10,0.0156,0,0.3975,1.1328
301,10,0.0279,0,0.4054,0.9637
301,20,0.0182,0,0.4496,1.0089
301,20,0.017,0,0.522,0.966
301,5,0.0131,0,0.6262,1.0132
301,5,0.0142,0,0.4662,0.8404
301,5,0.0046,0,0.5727,0.9587
301,20,0.0234,0,0.3699,0.9196
301,10,0.0227,0,0.2893,0.877
301,5,0.0113,0,0.5426,0.9908
301,10,0.0122,0,0.4153,0.9589
301,5,0.0104,0,0.432,0.8912
301,5,0.0172,0,0.8535,0.9278
301,20,0.0139,0,0.4241,0.8851
