File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
301_PoaPrat_9.tiff,Full,985,1349,920.899343,1.464872,293.055584,0.840051,0.592718,5.081146,712.506063,1162.659803,2547.04987,0.504,828.278606,92.000209,0.620527,519.269344,287.96379,3.126171,1632.563787,904.664926,9.821156,395.050968,755.238904,12.36993
301_PoaPrat_10.tiff,Full,2229,4035,2477.099358,1.628921,650.917971,0.764088,0.455983,6.250983,1829.097011,2753.664233,6355.938885,0.721,2225.643564,241.673881,9.781912,1300.659329,665.566728,55.113575,4090.156274,2092.638209,173.144403,996.927021,1511.694289,245.042923
301_PoaPrat_11.tiff,Full,591,692,432.41089,1.60033,114.429999,0.57644,0.34912,2.795525,437.346105,232.533963,809.379098,0.216,413.01474,19.396151,0,211.571442,45.792989,0,665.516179,143.862919,0,147.110414,85.423549,0
BU104_QuerElli_1.tiff,Full,0,42,1106.535418,0.037956,9639.058233,48.081123,45.805195,136.067994,401.972605,2707227.377277,162551.784321,1.189,25.818485,51.142849,1029.574085,26.869943,176.457202,51538.512821,84.414416,554.356649,161913.013256,28.473344,511.358065,2706687.545868
BU104_QuerElli_2.tiff,Full,8928,26178,8933.724474,2.930245,8346.433547,8.727943,0.189337,118.022477,7080.916562,4598418.054429,324141.658793,2.57,5617.38769,527.574282,2788.762502,1388.499227,1784.5574,99998.159051,4381.824528,5606.352419,314153.481846,767.913639,5049.978225,4592600.162564
BU104_QuerElli_3.tiff,Full,6,1092,1050.88425,1.039125,8120.568685,42.941105,38.239994,138.43436,523.745337,2974311.6132,147338.691838,1.039,284.264552,31.212518,735.40718,121.273426,102.005098,46675.850365,381.724766,320.458465,146636.508607,80.217719,280.333621,2973951.06186
BU105_AndrGera_1.tiff,Full,1193,1958,1014.280008,1.930433,258.153547,0.841562,0.508044,4.660148,620.075965,1246.303993,2860.020157,0.604,881.298649,132.981359,0,552.672719,356.957283,0,1738.228204,1121.791953,0,458.393626,787.910367,0
BU105_AndrGera_2.tiff,Full,2976,4705,2341.601348,2.009309,598.792553,1.046805,0.49373,5.998124,1374.546626,5440.550131,8533.306758,0.895,1824.963206,497.788331,18.849811,1028.928329,1585.576316,99.983591,3237.015364,4982.183678,314.107715,829.860587,4193.453103,417.236441
BU105_AndrGera_3.tiff,Full,1786,2815,1251.35518,2.249561,308.79484,0.873176,0.378674,5.14843,849.161959,2104.118367,3774.495523,0.784,1035.375103,214.863025,1.117052,534.5681,660.136293,5.672262,1681.897909,2074.777679,17.819935,407.153724,1674.341367,22.623275
BU105_AndrGera_4.tiff,Full,2507,3406,1608.408699,2.117621,381.653201,0.827861,0.42337,4.254816,1065.721259,2253.458084,4587.196539,0.831,1358.829369,249.57933,0,741.75894,716.768005,0,2333.735377,2253.461162,0,575.213016,1678.245067,0
