File.Name,Success,site,species,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,total_root_length_mm,Branching.frequency.per.mm,Network.Area.mm2,average_diameter_mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,volume_mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
104_AndrGera_7.tiff,N,104,Andropogon gerardii,Full,3335,5281,3136.062556,1.683959,983.840601,1.036059,0.508044,9.170238,1948.968213,7943.268338,11160.91462,0.961,2591.332496,448.109741,96.620319,1550.527462,1393.656892,606.207571,4875.818012,4379.683738,1905.412873,1241.746054,3637.522637,3063.999647
104_AndrGera_7.tiff,N,104,Andropogon gerardii,Full,5411,17372,5781.664289,3.004671,1744.598178,1.106186,0.254022,14.373646,4031.36972,31153.66275,24373.82463,1.516,4659.367926,670.51078,451.785583,2093.96074,2068.774051,3589.968612,6593.378786,6500.484821,11279.96103,1618.579317,5397.417653,24137.66578
104_AndrGera_7.tiff,N,104,Andropogon gerardii,Full,5182,15360,5317.352617,2.888656,2835.582584,1.763373,0.254022,24.709145,3599.170573,89919.89357,35518.84259,1.653,3997.881831,683.351554,636.119233,1765.552435,2100.976665,7433.041808,5561.582076,6605.670976,23351.58954,1376.162576,5419.457712,83124.27329
104_AndrGera_8.tiff,N,104,Andropogon gerardii,Full,462,354,166.802997,2.122264,24.056093,0.237713,0.169348,1.060962,235.011485,11.753324,128.616766,0.142,166.802997,0,0,40.881784,0,0,128.616766,0,0,11.753324,0,0
104_AndrGera_8.tiff,N,104,Andropogon gerardii,Full,798,766,368.98009,2.075993,65.674334,0.335953,0.239494,1.849308,446.36458,62.700268,408.74554,0.253,368.98009,0,0,129.938789,0,0,408.74554,0,0,62.700268,0,0
104_AndrGera_8.tiff,N,104,Andropogon gerardii,Full,954,1167,578.08352,2.018739,116.697413,0.442299,0.267763,2.814694,584.12637,184.122883,849.263584,0.304,569.592779,8.490741,0,250.144636,19.649999,0,787.179452,62.084132,0,147.613713,36.50917,0
104_AndrGera_9.tiff,N,104,Andropogon gerardii,Full,322,310,204.403418,1.516609,50.732706,0.463286,0.305296,2.358745,237.019591,64.170532,309.885523,0.183,202.820658,1.582759,0,95.105712,3.495908,0,298.902805,10.982718,0,58.090702,6.07983,0
104_AndrGera_9.tiff,N,104,Andropogon gerardii,Full,366,406,285.261304,1.423256,78.931086,0.665593,0.42337,2.890101,270.716497,202.035228,625.975246,0.186,265.810995,19.450309,0,152.999179,46.010392,0,481.073199,144.902048,0,115.083744,86.951484,0
104_AndrGera_9.tiff,N,104,Andropogon gerardii,Full,423,487,347.734695,1.400493,101.01193,0.766536,0.478988,3.380604,296.874924,332.765937,883.617646,0.19,313.878714,33.855981,0,194.0461,87.148167,0,609.833605,273.784041,0,153.045761,179.720175,0
104_PoaPrat_1.tiff,N,104,Poa pratensis,Full,169,109,59.645838,1.827454,7.253931,0.165246,0.169348,0.49373,99.763957,1.739459,31.955646,0.066,59.645838,0,0,10.140557,0,0,31.955646,0,0,1.739459,0,0
104_PoaPrat_1.tiff,Y,104,Poa pratensis,Full,103,131,92.555878,1.415361,17.553187,0.264098,0.254022,0.682664,140.195758,6.58153,78.009024,0.063,92.555878,0,0,24.805071,0,0,78.009024,0,0,6.58153,0,0
104_PoaPrat_1.tiff,N,104,Poa pratensis,Full,105,157,104.40431,1.503769,23.767513,0.330783,0.305296,0.946684,145.20283,11.930557,110.380898,0.068,104.40431,0,0,35.127315,0,0,110.380898,0,0,11.930557,0,0
104_PoaPrat_10.tiff,N,104,Poa pratensis,Full,150,100,30.929957,3.233112,2.941364,0.149869,0.119747,0.431754,48.357117,0.756949,15.098964,0.1,30.929957,0,0,4.798134,0,0,15.098964,0,0,0.756949,0,0
